,Duration,Call Id,V_Range,mnth_sin,day_sin,hr_sin,mnth_cos,day_cos,hr_cos,type_Current Customer,type_Other,type_Sales,type_Service,status_Answering Service/Call Center,status_Current Customer,status_Disconnected in Progress,status_Existing Customer Prospect,status_Left Message/Voice Mail,status_New Prospect,status_Other,status_Referral Prospect,status_Repeat Caller,Words
60,175,731232888.0,1,0.5000000000000003,0.0,-0.8660254037844385,-1.8369701987210297e-16,0.8660254037844387,1.1943401194869635e-15,0,0,0,1,0,0,0,0,0,1,0,0,0,say it wasn't alright this is okay alright is on the way we have right for looking for one thing it wasn't able to come tomorrow I can give you a call let me know bye I'll give you a call on Wednesday morning as well so around what time he'll be able to talk that's alright see you bye 
66,161,1047134960.0,1,0.7071067811865476,0.49999999999999994,0.7071067811865476,-0.5000000000000004,0.8660254037844387,-0.5000000000000004,0,0,0,1,0,0,0,0,1,0,0,0,0,this Maria speaking how can I make it bye ohh good morning it's Redmond my electrical work for us earlier this month and I was one item left we had a problem it's not an outlet that's how do I clean this it says that Outlook now with listen I'm letting you know when we're ready for unlock it home safe and in this is to come out I'm so we've covered up setting it up now and I wanted to let you know we're ready for an inspection hey what up then and we don't need to come back to us and let us know YouTube Diana voicemail she's in a meeting at the moment and then he will get the inspector arrange for you hello you've reached Ray this and trying to find it but if you leave a mess 5.0 let me know my number here is 519-471-3741 how do some electrical work for us earlier this summer and the only outstanding matter was we would have put a plane flight off of MLS and now we've we've done that now and he asked me to call into the office and let you know we're ready for analytical instruments through one notes were home so doing that now and the number is 519-471-3741 if you need to give me a call back for more information or Orange cream bye 
72,565,691162775.0,1,0.9659258262890682,0.0,-0.4999999999999997,-0.4999999999999998,0.8660254037844387,0.866025403784439,0,0,0,1,0,0,0,0,0,1,0,0,0,early 
78,448,696910285.0,1,1.0,0.7071067811865476,-0.25881904510252035,-0.8660254037844385,0.5000000000000001,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,Google service Maria speaking how can I make whatever okay it's after 10:00 what was the what is it for you what up for a cop I will have that I give you a call to reschedule that would be that was on the way back early so I will have to give you a call I like that later that purpose also so thoughtful I can next week he's also fully booked pretty much three quarters of the way there the 26th would be the first $0.05 of someone else that's the Coles okay or come in first thing in the morning like around excessive care I was letting kitchen and install my clients Rick infections okay and then okay Korea Apple verified I'll repeat okay okay fuck you are so come on by whenever Parker all clear okay let me just put dialing okay okay alright 
84,526,1040088844.0,1,0.5000000000000003,0.0,-0.4999999999999997,-1.8369701987210297e-16,0.8660254037844387,0.866025403784439,0,0,0,1,0,0,0,1,0,0,0,0,0,wait for you to call you between to coordinate a time for tomorrow if possible right okay no problem alright okay okay great alright bye 
90,519,740049880.0,1,0.258819045102521,0.49999999999999994,-0.25881904510252035,0.49999999999999933,0.8660254037844387,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,Beaker 
96,309,728429953.0,1,0.5000000000000003,0.7071067811865476,0.5000000000000003,-1.8369701987210297e-16,0.5000000000000001,-1.8369701987210297e-16,0,0,1,0,0,0,0,0,0,1,0,0,0,no problem just take it to your place before set up an appointment someone will come over and go and go over that with you thanks about 1 you are okay compatible that's best for you you know our first available for our efficiency I can next Friday I've got availability for asking for second of herpes okay I will put that out real late morning on Monday I will see you then thank you have a good day bye bye 
102,515,1068444015.0,2,0.9659258262890682,0.0,0.5000000000000003,-0.4999999999999998,0.8660254037844387,-1.8369701987210297e-16,0,0,0,1,0,0,0,0,0,1,0,0,0,region Cruise service Maria speaking how can I make a smile to see if I could I wanted to get the air conditioners are you the fireplace your sex I have to okay I'll be done work for you before South care just to work yes this yes look like good okay what's your postal code and your name Earls e Mor e screen response by Smosh get the phone number I'll give you my cellphone number just so you can we get a hold of me for 5:09 851 mean 87 you know I miss you like to share with sure it's Tracy Lou smart just see why rogers.com how you heard about us free children's health Foundation okay you said yes which at work so this will quickly go over how we I will schedule one of our technicians to come out on site once he's on site to look over everything with you first give you an accurate price on everything and then go ahead with a maintenance this I definitely know for a furnace it's $119 each additional unit would be 60 so if you had a nice came for your furnace people your air conditioning 64 East Fire price okay and when he's fast if they would accept cash checks Visa Mastercard purpose now who is a time that's better for you number one I guess let you know sorry I don't have anything available for this week so would have to be next week so sure that fine or Friday City you have anything any kind of the back and forth here so Tuesday Wednesday Thursday I have them to say first thing if you're into 6 between 8 830 Henry usually probably here for an hour or so course there's restful units to be done still a little bit more Channel 4 my calendar here I'm thinking maybe Thursday might be better I have Thursday morning available at 4 what's her when you pick her saying what time is it 8:30 she could be on site yes so that's Thursday the 17th is that leader work specially give us a call and we can certainly reschedule you know that's not a problem what we do have something else here in the office is closed the home protection plan where r Rice commode once a year base with me and she was a one time shot yeah it's only for your iPhone if the deal conditioning only okay if they will come out and assist me 1897 months for those uniforms come as 1 per month once a year and we do the maze ohh you can play one lump sum for the year which is 18097 I believe I think Udi's Nexus then you'll have your to fire princess on top of that service you keep my vehicle in summer camp so she needed for any of those Services we waive that for our come out which is $59 each time to come out they will give you 10% off on the work that as well sugar plum let's say I sign up for a yearly maintenance for the air conditioner and furnace rings and then coming goes wrong in 1/2 weeks or whatever and I need and they came out $60 see and then print off the services after that which is the Lexus all is well stay out anything electrical they will do this way this week and I got it on the work it is a good plan I mean it you know we don't have it put fireplaces but it is is a good plan that you get these payments on your furnace and air conditioning once a year and you've got the you know we'll see the score and I would also be going to ask I forget what you said the check with it was about $120 you said $60 for each additional so your furnace fixed before your air conditioners and 64 East of the fireplaces search firm container but you're ugly 
108,438,717323234.0,1,0.8660254037844387,0.25881904510252074,-0.7071067811865471,-0.8660254037844388,1.0,0.5000000000000004,0,0,1,0,0,0,0,1,0,0,0,0,0,okay you have a great day YouTube bye bye 
114,118,721154717.0,1,0.7071067811865476,0.49999999999999994,-0.7071067811865471,-0.5000000000000004,0.8660254037844387,0.5000000000000004,1,0,0,0,0,1,0,0,0,0,0,0,0,okay Kelly Barrington calling I'm following up on the electrical panel and irritated I'll be home tomorrow September Street 362 thank you 
120,117,1048207002.0,1,0.8660254037844387,0.49999999999999994,-2.4492935982947064e-16,-0.8660254037844388,0.8660254037844387,0.8660254037844378,0,0,0,1,0,0,0,0,0,1,0,0,0,smile how are you hey how are you best cuz then and I hope you would do you were going to send done my house on Friday 2:00 it's neighbor ohh yes due to a later time with desert hospital for three 330 that's almost to be there to leave so if you were we're home yes and I put you on a hold and I will double check with them thank you hi there hi yes he said he Cruise 30 is late and do it 
126,434,1045468204.0,0,0.7071067811865476,0.8660254037844386,0.7071067811865476,-0.5000000000000004,6.123233995736766e-17,-0.5000000000000004,0,0,0,1,0,0,0,0,0,1,0,0,0,great day of fun in home service at this hairstyles be there I would like to come on our stuff when I'm covered Street unit 2 unit price and are you you have to home Metro first available okay when I call in the morning machinist call us 30 minutes prior hit the rifle Assault and what Miami frame for or if you know what you would prefer afternoon that for us and then I'm sitting on the west campus so I'm hoping you have both my furnace and service it's mine that right if that's how that works also the coupon I believe so you want to call us just for you one right yeah 1 seconds check if I can get online just make sure when is machine comfort you have it with me so he will but if it's okay and I'm going to tell me the cost then we might go with me okay so it would be 1:19 or or just the one see if your furnace and then each of dollars Cee Cee colors 14 to take care bye 
132,187,1049768678.0,0,0.8660254037844387,0.0,-0.8660254037844385,-0.8660254037844388,0.8660254037844387,1.1943401194869635e-15,0,0,0,1,0,0,0,1,0,0,0,0,0,Houston career planning we make you smile hi there I'm hoping I can make an appointment as a former come and look at a club scene with me pass sure you wanted to tell him what what what are we looking at as the civil's to kick this thing if it just rings once it has been that has the problem alright alright has a loose is it also from the base I'll be done work for you before well quite a while ago so what's your address it looks like go 9/3 yes reiber your I have is 509-3679 when are you open to have fun out there Sarah yeah I have all of my little pool so he's nervous give any other Clinic I can't guarantee another time so what I can do as I can give him a different first call and how much of a heads up with me or work for you well let's probably goes we could work and how much of a heads up what is that a cellphone number I have here that III know that's a home mostly home do you have a cellphone number just in case her yet to 7 I'm like I noticed would promise yes no problem I'll give you a 5/2 hour notice so I will I have you move for tomorrow with you as soon as I haven't talked for you okay you're welcome 
138,425,683023117.0,1,0.8660254037844386,0.25881904510252074,0.5000000000000003,6.123233995736766e-17,1.0,-1.8369701987210297e-16,0,0,1,0,0,0,0,0,0,1,0,0,0,service Maria speaking how can I make a fire you just said you make me laugh cos Kei th my phone was 549-672-9594 I need to purchase that installed to smoke carbon monoxide sensors Sheldon because my neighbor chips winter purchase for me so all he found a smoker I also have a chandelier in all chandelier in my dining room furniture so trying to change it for me so I need shampoo is there anything else alright so I will put the information from you my AmEx person to come out he will give you an accurate price at that point it'll cost to install everything wishing and swallow perfect perfect suitcase eh five six seven Saint Charles Park Road East 9 hold for a moment are there for about four purpose and free T4 super number again 549-602-9594 email address with me on the building yes it's my name's Susan skank shemales you heard about us my neighbor I see your truck around the city but my neighbor Wendy's she had some work so don't rush her cover monoxide detectors some of our search for at least a year or two ago so she was one who told me session will schedule you somewhere for you silly like that okay is there now just have the bco to smoke detectors them or should I pick him up so what'll happen is no comma he will cigarettes meet Andrea okay how hot is it a story or I keep feeling for a tour Tennessee big silver rates Translate Siri put ceilings okay cheers Sagittarius are Monday person in the morning Tuesday I guess the thing in the morning what is your preference I was 1889 for Monday April 8th 8:34 between 8 and say I'm not sure how long they will take call n $59 did for them to come out so Karen trophy me know okay first so that's the 16th between near me pictures bye bye 
144,384,1064290606.0,0,0.9659258262890682,0.7071067811865476,0.258819045102521,-0.4999999999999998,0.5000000000000001,0.49999999999999933,0,0,0,1,0,0,0,1,0,0,0,0,0,visit how can I make you good morning it's Pam Ross calling from 61 mark like to schedule the yearly and some furnace an air conditioner hi there sorry about that hello Rose Street so you are home phone number still the same 306 North yes so I love now let me just give you a stye hi there sorry about that on the disk has that's first thing in the morning or at the I've got all day morning afternoon yes and I whatever in the morning or later in the afternoon or maybe I've got pretty much everything available in the morning okay that would be great I would Partners one partner office what is 5 by 4 case of filter and those with me $150 little bit yeah okay very much 
150,384,1077622354.0,2,0.7071067811865476,0.49999999999999994,0.8660254037844387,0.5000000000000001,0.8660254037844387,-0.8660254037844388,0,0,0,1,0,0,0,1,0,0,0,0,0,the great service Maria speaking how can I make it tomorrow only Auto Shippers pretty and I can forward it on that Electrical Plumbing or electrical calls or whoever is never going to come I can attach it now I can schedule an appointment and then I can attach it to the work order once Linda Coker special so that would be only hardly friend work for you to call me or what type what type of work is like what do you have a nice was there anything else to add 26 + 12 and we have picture it's a it's a little bit and also we we broke the cover and we wish to replace the cover that we bought a whole new fixture and we've got it you know we don't know if it was I can do it so love and you are Sharon r i l l phone number to 519-472-2854 are you are are you are home protective him member of ours so I can get you in sometime next week or any of that the Tuesday and or actually Wednesday the 21st okay first thing between Ohio I will put that in the work order and when our guys are there and you do no problem you know they will get $59 I'll go over everything with the installation so they take 3 seconds pH home service Maria c as in bar he hasn't he hasn't Rama Lee say 
156,309,746642373.0,2,1.2246467991473532e-16,0.7071067811865476,-0.8660254037844385,0.8660254037844384,0.5000000000000001,1.1943401194869635e-15,0,0,0,1,0,0,0,0,0,1,0,0,0,okay I can 
162,379,1030242217.0,0,1.2246467991473532e-16,0.8660254037844386,-0.25881904510252035,0.8660254037844384,6.123233995736766e-17,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,Maria speaking how can I make a phone okay are you you're very very soon I can permanently for the quote talking to Chris for me check my schedule we almost 2 o'clock I will have to schedule someone to come out give you a price on we will ask great I can put you on hold for I will talk with my service if he's available this afternoon how late is available okay so I'm just here I can get up there just to let you know that for okay for you okay and I took them home and I woke up this morning thank you 
168,374,1068420587.0,0,0.9659258262890682,0.0,0.258819045102521,-0.4999999999999998,0.8660254037844387,0.49999999999999933,0,0,0,1,0,0,0,0,0,1,0,0,0,sure miss Maria sequencing to make me smile forgot everything done so tell me for me to come and get you going there burns your first name and your last name or nurse 85 / 8 senior picture poco Sea Ray Lewis your postal code phone number 4 002 salaam quickly go over how we work we will go over everything with you give you an accurate price before they do any work so when he shows that we can help you went to Saint Louis Louis I will for your life time when someone's going to come out with a common hello Don this game Hi how are you William use your kitchen green has come apart okay when I can get them one teen a payment today do you need someone who's she want someone kind of late morning early afternoon tomorrow did you want me to call you probably be the best not a problem I'll call when you're welcome 
174,372,1033401293.0,0,0.258819045102521,0.0,0.7071067811865476,0.49999999999999933,0.8660254037844387,-0.5000000000000004,0,0,0,1,0,0,0,1,0,0,0,0,0,okay this is Maria speaking how can I make you smile hi it's Lindsay calling from Emily Avenue and the week of things one of our toilets upstairs or on the ground floor of the 8th leak out for the bank this is in the pain clinic in Venice Beach re filling it says the so we need somebody to take a look at that and the the as we had me mechanism inside replaced a couple years ago and it still is not quite right we had somebody else wants to have a look at this right so that's one thing and the other is we'd like to have somebody take a look at the furnace in just 7x over for the winter I will you're coming post someone will close your eyes that's a m b e r l e y are you at home I can't remember what yes you are yes I will will her she is a strider's the first available I have available for him Friday morning the mall there first thing in the morning first thing hold on here I think this works search the furnace filters girl that's okay I just to my phone here so this okay I got them hi Curtis Dennis the morning for the doctor's appointment the afternoon or or I will put it on Sunday and I was whatever knows afternoon yes yes when our Tech will be arriving on Friday so Friday when I when you say first thing Saturday he could be on site alright just know first thing in the morning and on Friday so if it's 9 Friday of this so okay alright is an ass yes Tony we just left out there cos you're going for your visit if there was I was just going to see your stuff for the furnace for the furnace maintenance since I'm to see when I've got him I know he is a little bit busier than our plumber Monday or Tuesday available and I need Middle School yeah III would work for me not stay at the Monday now I'm see you guys for a morning or afternoon bye yeah probably afternoon would be better when they will be there with you okay alright feel snow Monday this Friday okay now is Brett charge for you are home so he's not going to Part 2 for the best but he'll determine what the problem is and then go from there give you an accurate price we fall back and it'll show you as a friend who furnace you pay for pump plans nearest your yearly maintenance your your life for a year and then he will do that as far as perfect yes I can alright thank you bye bye 
180,363,1073941566.0,0,0.8660254037844386,0.49999999999999994,-0.4999999999999997,6.123233995736766e-17,0.8660254037844387,0.866025403784439,0,0,0,1,0,0,0,0,0,1,0,0,0,the great service Maria speaking how can I make you smile this has cost you 6 now how we done work for you before and you are phone number to 00926 that's your cell and I have home 519-453-5571 yes Andy 2509 sis I share with us fishing she's so just too long you know I feel like I'm so come out on site it'll go over everything with you first give you an accurate price on the holes wrong with the work there's a $59 dispatch me and they're able to cross check Visa Mastercard is there a good for you or when I send the guys over before you sit Thursday Friday there's three little hard and Casey's we need our our suppliers Macy ours put it on bye slug through Friday and you can buy the following week up until we shoot alright I will put in the note and I'll give you like 2 minutes at the shadow crazy for you he arrives hold of you when it comes to 4 so we can if you want just a second here for Friday if you want fastest time slot he's 3 o'clock well no I will give you a round Barry yes likely he gets his brother called a little bit before you call me like 4 or your home I should 
186,349,731618763.0,0,0.5000000000000003,0.49999999999999994,0.7071067811865476,-1.8369701987210297e-16,0.8660254037844387,-0.5000000000000004,0,0,0,1,0,0,0,0,0,1,0,0,0,I am pretty sure last time you were here we used to credit card 
192,349,671682850.0,2,0.49999999999999994,0.49999999999999994,0.8660254037844387,0.8660254037844387,0.8660254037844387,-0.8660254037844388,0,0,0,1,0,0,0,1,0,0,0,0,0,you're not picking up my make you smile is not available you have issues or he said he would call me yeah he has he's the owner of the moment so you are a freak you're you're blowing fuses blown fuse I can schedule someone called here her to your place before what's your unit 1102 to make sure that you were in an hour 702 her shopping what who's the coach special your postal code three six have a phone number for 39277 so quickly go over how we work here at Brainard we schedule like rice in a two hour window guys there will come out they will arrive and then go from there $16 be able problem there is a $59 per able to take these parts are you home this at all okay so you have an hour or is it hey coz my apartment I don't have power in the kitchen will will 
198,247,671625899.0,2,0.49999999999999994,0.25881904510252074,-0.9659258262890681,0.8660254037844387,1.0,-0.4999999999999992,0,0,0,1,0,0,0,0,0,1,0,0,0,sent you for calling fine in Home Services your call is important to us please stay on the line and we'll be right with you please stay on the line for waiting please stand bye hi despite in home service how can I help you yes we we do that as well yes we do Residential okay okay I'm I do have to let you know those since it is after hours now there is $149 call-out fee no cuz like the office closed at 4 so it's sorry it's after 4 o'clock incident I'm sure they wouldn't have $149 callout fee so I'm not sure I get prices for definitely would be less for when sorry so you're looking for service tonight still give you a call back at school well I won't be able to do that since the office is not open I can get the on call worker football I said I can get you on call worker to give you a call back and you can always ask them the question the name is Robinson and what's your address and I'm I want to double check that number is 519-439-2772 I will let my electrician know right away okay you're welcome 
204,342,1045158953.0,1,0.7071067811865476,0.0,0.7071067811865476,-0.5000000000000004,0.8660254037844387,-0.5000000000000004,0,0,0,1,0,0,0,1,0,0,0,0,0,crazy for me Chris it's West Valley Road Valley Road we usually have the your pick them up movie yearly inspection in the fall and do we call you for that or do you love make the come and I know there's two year lease which is fine I will be right over hair care bye bye so let's it's a maintenance you are hope it can came in Berkeley this is Valley Road Unit 46 in Spence's the name phone number for all the fresh look at a work cell and a home over 451 members Bowman 16 to self ohh yes sorry my work still the same me up you know I'm self employed so I can pay that price now I mastic we are a live it up this week or I can get you in the end of the week Thursday Friday if you'd like or we can go in two weeks good we do it in the morning or Thursday morning first thing Friday morning first no not Friday I have Wednesday available for 8 and I will have someone contact you and let you know there was a first name is a first thing Wednesday morning we need to talk that's fine I will have someone give you a pass on my dispatch Department confirm that the Polly call you Alfred back okay and that I will put it in the notes from her apartment alright do we this I know what the classroom we just need a Visa or Mastercard account as gas below our must have it on file okay what we have been in the past I don't know when it bears unit 46 good it'll allow it reuse the end of this month you've had yeah October of last year with your last maintenance so you're all good to go so based on your credit card this possible the rules the gentleman not and then we will be here in the office when he's there okay Do my voicemail reminder compromise but my wife was okay so whichever one has her she's good to go I have your actually you have a number ending in 65900 
210,332,1029970170.0,1,1.2246467991473532e-16,0.0,0.258819045102521,0.8660254037844384,0.8660254037844387,0.49999999999999933,0,0,0,1,0,0,0,1,0,0,0,0,0,hi I like to make sure your free part of making over the weekend I think I'll be where the noise coming from on it it was referred hey I heard the moment so I won't stop hey the phone hey I didn't really recall where it is more of that she answer the phone before same Lacey pretty 15083 North five account bruschetta loud like a lot of trouble laptops and I'm running into the show working in the NFL week later one of the fans on in front of your place like that sounds like compared hey this is a moment I can I'm were concerned that last time I left anyways waiting for someone to pick her up Robin Trower as hell so this afternoon probably would not work tomorrow is it snowing over for him hey my dear really really Tuesday I'm available 
216,299,691974283.0,1,0.9659258262890682,0.7071067811865476,-0.4999999999999997,-0.4999999999999998,0.5000000000000001,0.866025403784439,0,0,0,1,0,0,0,0,0,1,0,0,0,I think Darren were thinking of course that was okay 
222,184,691857482.0,1,0.9659258262890682,0.7071067811865476,0.5000000000000003,-0.4999999999999998,0.5000000000000001,-1.8369701987210297e-16,0,0,0,1,0,0,0,0,0,1,0,0,0,alright 
228,181,701704499.0,1,1.0,0.49999999999999994,-0.4999999999999997,-0.8660254037844385,0.8660254037844387,0.866025403784439,0,0,0,1,0,0,0,0,0,1,0,0,0,okay thank you bye bye 
234,167,695344380.0,1,1.0,0.8660254037844386,0.5000000000000003,-0.8660254037844385,6.123233995736766e-17,-1.8369701987210297e-16,0,0,0,1,0,0,0,1,0,0,0,0,0,Christine calling I'm going to need to have somebody out to take a look at my system I'm not gone about a week so restart early and then alternate switches mode which is mode again I think which is 76 degrees and neck recycling I'm on 8th Street doors yeah I could you can cry depends on what they are it is turn off the power breaker Sage 4 likely Amarillo earlier possibly of colon cancer I'm available hey 
240,79,1060020067.0,1,1.0,0.0,0.5000000000000003,-0.8660254037844385,0.8660254037844387,-1.8369701987210297e-16,1,0,0,0,0,0,0,0,0,0,0,0,1,Travis money how can I make you smile their eyes a part on order my name as been endorse haven't heard anything or seen anything so I don't know so when is it is it was you yeah I'm not sure I will have them follow up again and see what we have in Phoenix here in the office so I can be sure that the check is going to be the right one which means that I have to order another part and we'd Endor heard anything and he can follow up I'll let you know okay 
246,77,698841118.0,1,1.0,0.8660254037844386,-0.4999999999999997,-0.8660254037844385,6.123233995736766e-17,0.866025403784439,1,0,0,0,0,1,0,0,0,0,0,0,0,this is Christine I you guys coming out to my place this morning for new part I didn't work the exact same thing minute call me back 
